시군구,단지명,전용면적(㎡),층,거래금액(만원)
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,8,"36,600"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,8,"36,600"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,3,"50,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,9,"57,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,10,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,1,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,18,"55,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,3,"30,800"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,11,"44,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,12,"44,400"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,13,"45,200"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,5,"39,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,7,"45,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,10,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,10,"38,900"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,10,"37,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,1,"44,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"32,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,12,"36,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,14,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,2,"36,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.95,6,"33,100"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,10,"58,400"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,11,"61,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,12,"60,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,3,"59,850"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,1,"27,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,13,"36,400"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,14,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,15,"38,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,3,"34,700"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,8,"31,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,15,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,2,"31,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,8,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,16,"36,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,7,"34,300"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"42,200"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,12,"35,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,14,"31,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,14,"32,800"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,15,"40,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,3,"40,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,3,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,6,"34,850"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,7,"31,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,7,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,151.47,4,"60,300"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,16,"32,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,20,"30,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,6,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,9,"37,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,10,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"43,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"40,800"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,12,"41,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,1,"30,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,12,"36,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,16,"26,800"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,2,"33,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,9,"35,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,127.31,13,"56,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,127.31,16,"53,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,127.31,8,"49,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,13,"34,750"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,13,"30,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,4,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,7,"41,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,8,"35,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,10,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,16,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,6,"31,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,13,"37,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,17,"36,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,2,"28,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,5,"36,700"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,15,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,8,"35,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,13,"36,700"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,20,"37,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,2,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,5,"34,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,7,"44,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"46,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,6,"43,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,6,"45,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,10,"27,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,12,"28,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,17,"27,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,18,"28,300"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,18,"26,200"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,3,"25,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,10,"26,100"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,8,"27,500"
대구광역시 달서구 월성동,월성래미안,84.9724,13,"36,000"
대구광역시 달서구 월성동,월성래미안,84.9724,17,"36,900"
대구광역시 달서구 월성동,월성래미안,84.9724,20,"40,000"
대구광역시 달서구 월성동,월성래미안,84.9724,7,"37,000"
대구광역시 달서구 월성동,월성래미안,84.9724,13,"38,000"
대구광역시 달서구 월성동,월성래미안,84.9724,25,"33,000"
대구광역시 달서구 월성동,월성래미안,84.9724,8,"36,200"
대구광역시 달서구 월성동,월성래미안,84.9724,9,"37,300"
대구광역시 달서구 월성동,월성래미안,124.6477,17,"53,500"
대구광역시 달서구 월성동,월성래미안,124.6477,3,"59,000"
대구광역시 달서구 월성동,월성래미안,124.6477,8,"53,000"
대구광역시 달서구 월성동,월성래미안,84.9724,10,"38,000"
대구광역시 달서구 월성동,월성래미안,84.9724,11,"37,400"
대구광역시 달서구 월성동,월성래미안,84.9724,17,"39,000"
대구광역시 달서구 월성동,월성래미안,84.9724,17,"39,000"
대구광역시 달서구 월성동,월성래미안,84.9724,4,"38,800"
대구광역시 달서구 월성동,월성래미안,84.9724,5,"33,000"
대구광역시 달서구 월성동,월성래미안,84.9724,10,"38,100"
대구광역시 달서구 월성동,월성래미안,84.9724,20,"39,500"
대구광역시 달서구 월성동,월성래미안,84.9724,4,"35,500"
대구광역시 달서구 월성동,월성래미안,84.9724,4,"35,500"
대구광역시 달서구 월성동,월성래미안,84.9724,12,"36,000"
대구광역시 달서구 월성동,월성래미안,84.9724,12,"36,050"
대구광역시 달서구 월성동,월성래미안,84.9724,13,"38,000"
대구광역시 달서구 월성동,월성래미안,84.9724,14,"35,400"
대구광역시 달서구 월성동,월성래미안,84.9724,7,"37,000"
대구광역시 달서구 대곡동,삼성래미안1,84.95,11,"30,350"
대구광역시 달서구 대곡동,삼성래미안1,84.95,18,"32,300"
대구광역시 달서구 대곡동,삼성래미안1,84.95,14,"29,100"
대구광역시 달서구 대곡동,삼성래미안1,84.95,17,"31,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,2,"29,200"
대구광역시 달서구 대곡동,삼성래미안1,119.62,11,"35,500"
대구광역시 달서구 대곡동,삼성래미안1,119.62,14,"36,000"
대구광역시 달서구 대곡동,삼성래미안1,119.62,3,"34,450"
대구광역시 달서구 대곡동,삼성래미안1,84.95,10,"28,400"
대구광역시 달서구 대곡동,삼성래미안1,84.95,11,"28,800"
대구광역시 달서구 대곡동,삼성래미안1,59.86,12,"23,000"
대구광역시 달서구 대곡동,삼성래미안1,84.95,19,"27,500"
대구광역시 달서구 대곡동,삼성래미안1,59.86,2,"23,950"
대구광역시 달서구 대곡동,삼성래미안1,59.86,2,"20,700"
대구광역시 달서구 대곡동,삼성래미안1,84.95,8,"30,000"
대구광역시 달서구 대곡동,삼성래미안1,59.86,8,"23,600"
대구광역시 달서구 대곡동,삼성래미안1,84.95,15,"27,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,16,"27,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,4,"26,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,11,"25,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,12,"25,200"
대구광역시 달서구 대곡동,삼성래미안1,59.86,1,"18,450"
대구광역시 달서구 대곡동,삼성래미안1,59.86,12,"23,500"
대구광역시 달서구 대곡동,삼성래미안1,59.86,14,"21,000"
대구광역시 달서구 대곡동,삼성래미안1,59.86,17,"21,350"
대구광역시 달서구 대곡동,삼성래미안1,59.86,18,"22,600"
대구광역시 달서구 대곡동,삼성래미안1,59.86,19,"21,100"
대구광역시 달서구 대곡동,삼성래미안1,59.86,20,"19,000"
대구광역시 달서구 대곡동,삼성래미안1,59.86,7,"20,800"
대구광역시 달서구 대곡동,삼성래미안1,84.95,14,"28,200"
대구광역시 달서구 대곡동,삼성래미안1,84.95,8,"29,900"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,1,"20,000"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,1,"20,600"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,13,"21,500"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,16,"22,800"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,10,"25,800"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,18,"26,900"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,7,"24,000"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,8,"25,500"
대구광역시 달서구 대곡동,삼성래미안2,122.3965,13,"37,500"
대구광역시 달서구 대곡동,삼성래미안2,122.3965,14,"33,500"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,15,"28,500"
